api,scenario,duration_ms,size_bytes,status,timestamp
REST,simple,261.9609832763672,2560,200,1764543794.365987
REST,complex,297.73807525634766,42574,200,1764543794.6639354
GraphQL,simple,294.04330253601074,1183,200,1764543794.958307
GraphQL,complex,1316.0266876220703,2177,200,1764543796.2746928
REST,simple,261.55877113342285,2560,200,1764543796.5369527
REST,complex,314.6815299987793,42576,200,1764543796.8519783
GraphQL,simple,356.54568672180176,1183,200,1764543797.2087305
GraphQL,complex,806.833028793335,2177,200,1764543798.0157323
REST,simple,241.2281036376953,2561,200,1764543798.257622
REST,complex,322.5431442260742,42576,200,1764543798.5804522
GraphQL,simple,356.6920757293701,1183,200,1764543798.9375987
GraphQL,complex,738.516092300415,2175,200,1764543799.6763492
REST,simple,271.3780403137207,2560,200,1764543799.9481623
REST,complex,333.82272720336914,42576,200,1764543800.2824028
GraphQL,simple,298.0968952178955,1183,200,1764543800.5809288
GraphQL,complex,691.2386417388916,2176,200,1764543801.2725823
REST,simple,253.29995155334473,2561,200,1764543801.526743
REST,complex,348.25849533081055,42576,200,1764543801.875391
GraphQL,simple,285.6776714324951,1183,200,1764543802.161484
GraphQL,complex,844.7394371032715,2177,200,1764543803.0065851
REST,simple,252.3183822631836,2560,200,1764543803.2596676
REST,complex,328.62353324890137,42575,200,1764543803.5887482
GraphQL,simple,307.6815605163574,1184,200,1764543803.8968558
GraphQL,complex,649.9712467193604,2177,200,1764543804.5471256
REST,simple,236.39225959777832,2561,200,1764543804.7842274
REST,complex,315.5703544616699,42576,200,1764543805.1002195
GraphQL,simple,253.72767448425293,1185,200,1764543805.3543758
GraphQL,complex,1398.6644744873047,2177,200,1764543806.7533817
REST,simple,292.4501895904541,2560,200,1764543807.0465043
REST,complex,379.1055679321289,42576,200,1764543807.4260247
GraphQL,simple,284.5487594604492,1185,200,1764543807.7110171
GraphQL,complex,746.356725692749,2177,200,1764543808.4578004
REST,simple,258.2817077636719,2559,200,1764543808.7170458
REST,complex,323.0712413787842,42575,200,1764543809.04046
GraphQL,simple,285.5548858642578,1185,200,1764543809.3263695
GraphQL,complex,841.0847187042236,2177,200,1764543810.1678643
REST,simple,239.60542678833008,2560,200,1764543810.4082606
REST,complex,312.7288818359375,42576,200,1764543810.7213802
GraphQL,simple,299.8383045196533,1185,200,1764543811.0216453
GraphQL,complex,765.7792568206787,2177,200,1764543811.787837
